fips,state,mcr_benes,mcr_avg_age,dual_pct,imaging_p1k,em_p1k,tests_p1k,uninsured,mammography,flu_vax,prevent_hosp,chr_diabetes,pcp_ratio,median_income,pct_rural,long_commute,broadband,state_abb,medicaid_expansion
01101,Alabama,46103,71,0.1458,4193.7108,12884.3453,6044.4969,0.1217890452,0.43,0.4,5509,0.162,0.0010187675,52711,0.1049123006,0.207,0.7950450702,AL,no
01103,Alabama,27742,72,0.1511,4255.1403,12979.5096,6724.1574,0.1323646435,0.4,0.45,6064,0.121,5.20619e-4,54355,0.3859737217,0.335,0.7511215645,AL,no
01105,Alabama,2704,69,0.436,3880.0813,8780.4878,5322.1545,0.1171624714,0.39,0.24,7088,0.205,3.282276e-4,29572,1,0.375,0.5394136808,AL,no
01107,Alabama,5170,70,0.2837,4302.939,15110.0226,6556.1417,0.1222307105,0.44,0.46,5829,0.19,4.012439e-4,40249,1,0.536,0.6609925363,AL,no
01109,Alabama,6861,71,0.2222,4031.4685,11290.5983,6327.5058,0.1402607362,0.4,0.39,5134,0.144,4.49937e-4,41271,0.5167938235,0.235,0.6625290923,AL,no
01111,Alabama,6300,71,0.197,3637.6812,9535.9025,5712.4506,0.1312168715,0.31,0.33,4395,0.179,2.20022e-4,42922,0.8134246934,0.416,0.6982302919,AL,no
01113,Alabama,12212,70,0.164,3757.047,13529.8178,5771.2368,0.1197838549,0.37,0.42,4479,0.166,2.596009e-4,43670,0.354089939,0.369,0.7128363855,AL,no
01115,Alabama,20688,71,0.0923,4676.2849,13750.8266,7384.5807,0.1150725993,0.38,0.43,5437,0.143,1.691284e-4,65403,0.7279676528,0.554,0.7818703958,AL,no
01117,Alabama,41942,73,0.0629,4613.604,14450.9538,7275.5414,0.0813709926,0.4,0.46,4238,0.105,8.205575e-4,77801,0.2294487018,0.478,0.88329775210000006,AL,no
01119,Alabama,3287,68,0.3662,3402.6611,9406.8627,5381.6527,0.1337619901,0.52,0.31,6414,0.181,5.51572e-4,29209,1,0.404,0.6312956555,AL,no
01121,Alabama,20852,71,0.1788,4165.2836,12608.3526,7233.8457,0.1202877698,0.34,0.36,5776,0.17,3.257003e-4,47719,0.5581533825,0.336,0.7349259436,AL,no
01123,Alabama,12070,71,0.164,4542.9448,11864.0082,5991.82,0.1184462304,0.38,0.47,4173,0.143,4.938637e-4,47100,0.7422625913,0.392,0.7488429497,AL,no
01125,Alabama,39165,70,0.2052,4495.9752,14023.3885,6222.349,0.1014563787,0.44,0.46,5624,0.122,7.180091e-4,52307,0.2550807578,0.258,0.8040877162,AL,no
01127,Alabama,18110,71,0.1645,4659.9092,12750.5676,8259.1632,0.1297589458,0.46,0.42,6219,0.15,4.080928e-4,45991,0.7408799964,0.4,0.7197330029,AL,no
01129,Alabama,4443,71,0.2287,4414.8325,10555.5024,5077.512,0.1381649139,0.35,0.28,4036,0.125,1.22115e-4,48864,1,0.527,0.6176961603,AL,no
01131,Alabama,3282,67,0.4249,3564.9832,8929.9663,4597.3064,0.1127990431,0.34,0.23,5373,0.187,2.822998e-4,30998,1,0.442,0.53658536590000006,AL,no
01133,Alabama,6414,72,0.2336,4469.8119,13259.3204,7445.3976,0.1474554154,0.38,0.41,11361,0.218,4.226543e-4,40827,0.8489217448,0.47,0.6581526272,AL,no
02013,Alaska,169,72,0.2266,3046.875,9218.75,2156.25,0.2561051972,NA,NA,NA,0.145,NA,66923,1,0,0.6235955056,AK,yes
02016,Alaska,253,71,0.3403,2284.7222,6527.7778,2583.3333,0.1763219285,NA,NA,NA,0.075,3.494671e-4,84726,1,0.008,0.7716933446,AK,yes
02020,Alaska,43326,71,0.2294,3671.9114,9316.6176,3570.3267,0.1209020262,0.38,0.4,2758,0.084,0.0011456483,82512,0.0411717942,0.132,0.8996875205,AK,yes
02050,Alaska,1648,71,0.5985,2234.4569,5614.9813,991.0112,0.1794623981,0.04,0.07,5053,0.065,0.0010430391,48262,0.7393757715,0,0.7329026509,AK,yes
02060,Alaska,173,73,0.1905,2515.873,7547.619,2357.1429,0.1621253406,0.32,0.35,2521,0.176,0,87950,1,0.029,0.7834394904,AK,yes
02063,Alaska,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AK,yes
02066,Alaska,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AK,yes
02068,Alaska,288,71,0.0833,2337.3016,4658.7302,2107.1429,0.1211072664,NA,NA,NA,0.079,NA,78434,1,0.296,0.898858075,AK,yes
02070,Alaska,578,71,0.4654,2771.8894,8131.3364,1071.4286,0.1874029718,0.31,0.19,3661,0.083,0.0026,57436,1,0.054,0.7589348283,AK,yes
02090,Alaska,12969,71,0.1729,2942.0825,8306.7916,2490.8125,0.1232868606,0.35,0.36,2002,0.071,8.184216e-4,74076,0.3087076378,0.173,0.8577981651,AK,yes
02100,Alaska,698,72,0.1993,2051.495,7152.8239,1596.3455,0.139306059,0.34,0.35,NA,0.072,0.002829426,62548,1,0,0.8381330685,AK,yes
02105,Alaska,556,72,0.2357,2479.8301,7794.0552,1600.8493,0.2126126126,NA,NA,NA,0.151,NA,53141,NA,0.08,0.6409608091,AK,yes
02110,Alaska,5705,71,0.1787,2770.0081,8602.6677,3607.3161,0.1088275304,0.38,0.46,2330,0.06,0.0012144614,85419,0.2154436451,0.08,0.9066740297,AK,yes
02122,Alaska,13541,71,0.1734,2734.0279,7479.938,2550.7147,0.1546228092,NA,NA,NA,0.097,7.517127e-4,68625,0.7933754513,0.146,0.7949607027,AK,yes
02130,Alaska,2808,72,0.2087,1507.7373,5811.376,1976.9971,0.1569506726,0.39,0.44,3163,0.108,0.0010777411,75706,0.2318765304,0.07,0.8475078747,AK,yes
02150,Alaska,1931,72,0.213,2399.3789,5909.3168,3767.0807,0.1979945615,0.31,0.41,2528,0.067,0.0011240165,79669,0.3131989406,0.031,0.8375968083,AK,yes
02158,Alaska,607,70,0.6874,2200,6537.8641,1384.466,0.1778549383,0.04,0.11,4665,0.046,NA,35369,NA,0,0.6531322506,AK,yes
02164,Alaska,172,71,0.4252,2385.8268,7078.7402,1496.063,0.2072829132,NA,NA,NA,0.118,0,51693,1,0,0.6532066508,AK,yes
02170,Alaska,17390,71,0.1961,3558.7476,9256.9954,4535.6561,0.1514219335,0.35,0.33,2398,0.089,4.925193e-4,75856,0.5029383673,0.417,0.8663548707,AK,yes
02180,Alaska,957,70,0.5007,1198.9175,3625.1691,522.3275,0.1837319519,0.32,0.04,6041,0.065,9.992006e-4,58464,0.6605562579,0.001,0.741209564,AK,yes
02185,Alaska,590,70,0.2876,1698.8764,4950.5618,982.0225,0.1532982687,NA,NA,NA,0.055,2.025932e-4,84784,0.5933191941,0.03,0.6983324912,AK,yes
02188,Alaska,637,71,0.5349,1484.1438,7012.685,1029.5983,0.1775501494,NA,NA,NA,0.146,7.821666e-4,61660,0.5746377775,0,0.7665738162,AK,yes
02195,Alaska,909,73,0.166,2583.6431,4514.2503,1298.6369,0.1607692308,NA,NA,NA,0.092,0.0018627755,71296,NA,0.034,0.8205560236,AK,yes
02198,Alaska,1148,71,0.3058,2337.9828,7417.382,3006.4378,0.2021857923,NA,NA,NA,0.12,9.342884e-4,50049,NA,0.128,0.657950232,AK,yes
02220,Alaska,1611,72,0.1754,2877.8409,8828.125,1218.0398,0.1547717842,0.33,0.39,4090,0.065,0.0019659998,80660,0.2087602747,0.011,0.8418381731,AK,yes
02230,Alaska,213,72,0.0757,2583.7838,5291.8919,4027.027,0.1414038657,0.39,0.33,2726,0.047,0,74898,NA,0.012,0.8426666667,AK,yes
