fips,race,age,dr_cases,vtdr_cases,dm_pop
06057,"White, non-Hispanic",40-64 years,661,117,3227
06059,"White, non-Hispanic",40-64 years,15265,2310,61192
06061,"White, non-Hispanic",40-64 years,2487,404,10693
06063,"White, non-Hispanic",40-64 years,232,21,679
06065,"White, non-Hispanic",40-64 years,9235,1696,44627
06067,"White, non-Hispanic",40-64 years,8146,1377,32745
06069,"White, non-Hispanic",40-64 years,355,63,1187
06071,"White, non-Hispanic",40-64 years,7726,1391,34167
06073,"White, non-Hispanic",40-64 years,17527,2906,66082
06075,"White, non-Hispanic",40-64 years,2815,383,13377
06077,"White, non-Hispanic",40-64 years,3040,504,12854
06079,"White, non-Hispanic",40-64 years,2060,330,7125
06081,"White, non-Hispanic",40-64 years,2718,507,12376
06083,"White, non-Hispanic",40-64 years,2414,444,7808
06085,"White, non-Hispanic",40-64 years,7063,1042,26428
06087,"White, non-Hispanic",40-64 years,1967,347,6386
06089,"White, non-Hispanic",40-64 years,1034,148,5885
06091,"White, non-Hispanic",40-64 years,35,6,122
06093,"White, non-Hispanic",40-64 years,309,54,1383
06095,"White, non-Hispanic",40-64 years,1853,341,8403
06097,"White, non-Hispanic",40-64 years,2798,509,12588
06099,"White, non-Hispanic",40-64 years,2753,492,11435
06101,"White, non-Hispanic",40-64 years,458,75,2081
06103,"White, non-Hispanic",40-64 years,703,90,2042
06105,"White, non-Hispanic",40-64 years,108,18,612
06107,"White, non-Hispanic",40-64 years,1726,326,7406
06109,"White, non-Hispanic",40-64 years,332,63,1825
06111,"White, non-Hispanic",40-64 years,4929,917,18459
06113,"White, non-Hispanic",40-64 years,968,174,3677
06115,"White, non-Hispanic",40-64 years,442,78,2015
08001,"White, non-Hispanic",40-64 years,2762,437,9691
08003,"White, non-Hispanic",40-64 years,91,12,309
08005,"White, non-Hispanic",40-64 years,3637,593,14750
08007,"White, non-Hispanic",40-64 years,93,16,450
08009,"White, non-Hispanic",40-64 years,26,4,115
08011,"White, non-Hispanic",40-64 years,48,10,190
08013,"White, non-Hispanic",40-64 years,2767,456,9589
08014,"White, non-Hispanic",40-64 years,651,75,2137
08015,"White, non-Hispanic",40-64 years,125,20,639
08017,"White, non-Hispanic",40-64 years,13,2,52
08019,"White, non-Hispanic",40-64 years,84,12,358
08021,"White, non-Hispanic",40-64 years,49,7,162
08023,"White, non-Hispanic",40-64 years,21,3,86
08025,"White, non-Hispanic",40-64 years,51,11,212
08027,"White, non-Hispanic",40-64 years,49,5,199
08029,"White, non-Hispanic",40-64 years,242,45,1030
08031,"White, non-Hispanic",40-64 years,2744,480,12404
08033,"White, non-Hispanic",40-64 years,28,4,93
08035,"White, non-Hispanic",40-64 years,2251,408,9593
08037,"White, non-Hispanic",40-64 years,314,59,1452
08039,"White, non-Hispanic",40-64 years,236,35,992
