fips,svi_overall,svi_ses,svi_hhchar,svi_minority,svi_housing
12043,0.8921,0.944,0.6623,0.795,0.8049
12045,0.6719,0.4685,0.8199,0.5786,0.7355
12047,0.9799,0.9758,0.7482,0.8501,0.9917
12049,0.9618,0.9462,0.8294,0.8902,0.9526
12051,0.9959,0.9959,0.8647,0.9593,0.9799
12053,0.6645,0.7941,0.7113,0.5996,0.2896
12055,0.8466,0.8501,0.8453,0.7247,0.6407
12057,0.7906,0.739,0.5595,0.8842,0.774
12059,0.8625,0.9122,0.8711,0.4243,0.705
12061,0.521,0.6257,0.493,0.6232,0.2884
12063,0.8991,0.837,0.8027,0.732,0.9309
12065,0.6687,0.6655,0.4255,0.7973,0.6359
12067,0.796,0.9007,0.1798,0.726,0.8641
12069,0.6779,0.6642,0.7231,0.6951,0.4685
12071,0.7209,0.6798,0.6378,0.7231,0.6416
12073,0.6588,0.6547,0.0777,0.8313,0.9157
12075,0.774,0.9061,0.7279,0.5656,0.4052
12077,0.7062,0.8654,0.1906,0.6216,0.6865
12079,0.915,0.9042,0.4227,0.8552,0.986
12081,0.6983,0.705,0.5808,0.6712,0.6018
12083,0.8542,0.8176,0.8472,0.6849,0.7473
12085,0.4898,0.4262,0.4443,0.577,0.5713
12086,0.9007,0.929,0.4698,0.9892,0.9042
12087,0.6986,0.5201,0.2511,0.7314,0.9771
12089,0.2976,0.3183,0.3778,0.4243,0.2807
12091,0.5385,0.4644,0.5207,0.648,0.5637
12093,0.9093,0.8593,0.8619,0.7651,0.8937
12095,0.8011,0.8062,0.4475,0.9271,0.7632
12097,0.873,0.8657,0.873,0.9612,0.5563
12099,0.7884,0.7756,0.6251,0.8536,0.669
12101,0.747,0.6986,0.8164,0.6432,0.5799
12103,0.7247,0.591,0.6053,0.6407,0.8444
12105,0.9188,0.8488,0.8978,0.816,0.8889
12107,0.9666,0.9771,0.9293,0.6674,0.8848
12109,0.163,0.2339,0.1875,0.5181,0.1286
12111,0.7868,0.8109,0.8157,0.8256,0.4265
12113,0.464,0.4761,0.4001,0.5226,0.4494
12115,0.4122,0.3651,0.4297,0.5083,0.4424
12117,0.3358,0.3743,0.2409,0.8011,0.2444
12119,0.2759,0.1961,0.4268,0.4586,0.3717
12121,0.8794,0.6486,0.9004,0.6184,0.9707
12123,0.8539,0.7136,0.6149,0.663,0.9825
12125,0.6448,0.5207,0.1419,0.6916,0.9672
12127,0.6579,0.6267,0.6785,0.6712,0.5239
12129,0.2282,0.2024,0.0586,0.5598,0.5277
12131,0.7142,0.5955,0.6776,0.4799,0.8294
12133,0.8616,0.9529,0.7435,0.5923,0.6394
13001,0.8892,0.8192,0.9067,0.6964,0.8402
13003,0.9052,0.9427,0.9504,0.8329,0.5127
13005,0.9332,0.7794,0.9749,0.6445,0.9319
13007,0.6996,0.9195,0.2549,0.8756,0.3437
13009,0.887,0.9271,0.4398,0.8641,0.9074
13011,0.5102,0.7673,0.5162,0.3908,0.1862
13013,0.5255,0.691,0.7852,0.6862,0.0751
13015,0.6343,0.7887,0.543,0.6127,0.3297
13017,0.9558,0.9761,0.825,0.8399,0.867
13019,0.7018,0.8934,0.6808,0.5242,0.2673
13021,0.9564,0.958,0.8775,0.9379,0.8475
13023,0.6321,0.6566,0.4246,0.7043,0.5773
13025,0.4761,0.9357,0.1871,0.2508,0.1295
13027,0.8994,0.9618,0.7731,0.8358,0.6537
13029,0.3555,0.4414,0.5936,0.6544,0.0987
13031,0.8253,0.9411,0.1108,0.7575,0.9246
13033,0.6846,0.7368,0.3033,0.8873,0.6155
13035,0.7237,0.8444,0.4675,0.7276,0.4825
13037,0.9545,0.9691,0.6674,0.9545,0.9278
13039,0.6025,0.6891,0.2673,0.6862,0.5831
13043,0.9914,0.9647,0.9866,0.7934,0.9507
13045,0.768,0.7985,0.7689,0.6891,0.4965
13047,0.2753,0.3297,0.3265,0.3046,0.2829
13049,0.9456,0.9806,0.6041,0.7782,0.9293
13051,0.8323,0.831,0.5812,0.8842,0.7836
13053,0.7428,0.6916,0.1938,0.8246,0.9341
13055,0.9122,0.9166,0.7196,0.5083,0.9653
13057,0.2228,0.2721,0.4892,0.5742,0.0722
13059,0.8211,0.9026,0.1314,0.8444,0.9223
13061,0.9411,0.9819,0.7839,0.9141,0.7161
13063,0.9539,0.9729,0.8167,0.9943,0.8024
13065,0.9427,0.9109,0.67,0.7358,0.9908
13067,0.4227,0.4182,0.4453,0.8717,0.2215
13069,0.9675,0.8902,0.9144,0.8141,0.9787
13071,0.9809,0.9809,0.9561,0.8399,0.8797
13073,0.1645,0.154,0.5933,0.7066,0.0347
13075,0.8908,0.9465,0.8036,0.7447,0.6871
13077,0.2963,0.296,0.591,0.6747,0.1238
13079,0.5395,0.7521,0.1572,0.6432,0.4214
13081,0.9933,0.9962,0.9704,0.8787,0.8743
13083,0.5675,0.64,0.1652,0.2202,0.88
13085,0.1887,0.3514,0.1642,0.2928,0.1353
13087,0.9602,0.9593,0.7288,0.8768,0.9593
13089,0.8164,0.8052,0.5687,0.9666,0.7155
13091,0.8173,0.7549,0.6082,0.747,0.8752
13093,0.9192,0.8647,0.633,0.9131,0.9666
13095,0.9723,0.9905,0.844,0.9758,0.795
13097,0.6929,0.76,0.6926,0.9297,0.2782
13099,0.9656,0.9943,0.7658,0.901,0.8084
13101,0.5175,0.6582,0.3994,0.8017,0.2209
13103,0.3351,0.4812,0.3851,0.5923,0.1327
13105,0.9691,0.9796,0.9398,0.7575,0.837
13107,0.9873,0.979,0.9663,0.8017,0.9306
13109,0.9644,0.9685,0.9287,0.8285,0.8364
13111,0.4866,0.8033,0.5137,0.1327,0.1894
13113,0.1397,0.1292,0.4545,0.789,0.0372
13115,0.9529,0.8857,0.9179,0.6785,0.9675
13117,0.07,0.0745,0.2479,0.6849,0.0315
13119,0.7473,0.7518,0.9348,0.4981,0.4067
13121,0.69,0.5761,0.2807,0.9268,0.8695
13123,0.6544,0.6165,0.9402,0.4395,0.345
13125,0.6639,0.4828,0.4739,0.4023,0.9586
13127,0.7549,0.7056,0.7323,0.7559,0.6181
13129,0.8721,0.8425,0.8803,0.5907,0.7871
13131,0.9246,0.8584,0.9831,0.8094,0.647
13133,0.5633,0.7874,0.4841,0.8119,0.141
13135,0.6015,0.6477,0.6846,0.9427,0.205
13137,0.6703,0.6244,0.5901,0.606,0.6744
13139,0.7896,0.7444,0.7043,0.7903,0.6941
13141,0.902,0.8985,0.5264,0.9774,0.9233
13143,0.422,0.6719,0.3727,0.3084,0.1926
13145,0.0675,0.1798,0.0484,0.6034,0.0376
13147,0.8116,0.8644,0.6158,0.627,0.7272
13149,0.8103,0.923,0.894,0.4605,0.3959
13151,0.4001,0.529,0.5863,0.9201,0.0493
13153,0.5369,0.4933,0.6076,0.8358,0.339
13155,0.8265,0.9631,0.5821,0.7222,0.4889
13157,0.387,0.3953,0.6012,0.5382,0.2158
13159,0.6063,0.8116,0.7123,0.6308,0.1378
13161,0.8724,0.8931,0.767,0.669,0.767
13163,0.9819,0.9574,0.9306,0.915,0.9574
13165,0.8495,0.9418,0.3313,0.8399,0.8109
13167,0.9468,0.9262,0.3708,0.7708,0.9987
13169,0.2712,0.2782,0.2123,0.6731,0.2785
13171,0.5837,0.8364,0.0461,0.7342,0.556
13173,0.6515,0.8845,0.0156,0.7043,0.8386
13175,0.8692,0.8762,0.8087,0.8224,0.6693
13177,0.2925,0.2638,0.5306,0.669,0.1728
13179,0.8606,0.7858,0.7588,0.9338,0.8027
13181,0.7323,0.7597,0.8109,0.7212,0.3966
13183,0.95,0.9812,0.9659,0.8208,0.5251
13185,0.8733,0.9004,0.3628,0.8584,0.9214
13187,0.4058,0.7699,0.0251,0.3084,0.4408
13189,0.8507,0.9395,0.6235,0.8577,0.5885
13191,0.5376,0.7346,0.1843,0.7708,0.3425
13193,0.979,0.9997,0.6722,0.9593,0.9217
13195,0.7059,0.8485,0.8412,0.5465,0.2266
13197,0.7909,0.7285,0.9217,0.8039,0.4682
13199,0.8943,0.9443,0.7218,0.8256,0.7559
13201,0.9112,0.9379,0.4905,0.7107,0.9694
13205,0.9917,0.9978,0.8832,0.8937,0.95
13207,0.4717,0.4984,0.2508,0.6512,0.5175
13209,0.8485,0.9048,0.5942,0.7342,0.7502
13211,0.246,0.2088,0.2772,0.6528,0.2658
13213,0.6922,0.8167,0.4386,0.5226,0.5812
13215,0.9497,0.9328,0.8698,0.9239,0.8756
13217,0.7206,0.8498,0.7826,0.8972,0.176
13219,0.0468,0.0369,0.557,0.4854,0.0067
13221,0.5948,0.6836,0.5586,0.6168,0.3705
13223,0.1661,0.3444,0.3425,0.6938,0.0083
13225,0.9418,0.9519,0.7368,0.895,0.9045
13227,0.4042,0.4679,0.3896,0.4395,0.3294
13229,0.4885,0.7817,0.5404,0.4777,0.1025
13231,0.0913,0.3781,0.0178,0.4112,0.0532
13233,0.8444,0.9134,0.9379,0.6582,0.387
13235,0.9749,0.9341,0.5582,0.8151,0.9997
13237,0.7467,0.7177,0.6123,0.7301,0.691
13239,0.8383,0.9402,0.5471,0.915,0.5722
13241,0.6222,0.8616,0.5882,0.3794,0.2616
13243,0.9987,0.9936,0.922,0.9567,0.9943
13245,0.9631,0.9736,0.7607,0.9484,0.9128
13247,0.7705,0.8507,0.7403,0.9637,0.2995
13249,0.619,0.8867,0.5493,0.7358,0.1206
13251,0.8192,0.7954,0.529,0.8485,0.838
13253,0.93,0.9313,0.8285,0.7782,0.8708
13255,0.7731,0.8759,0.6801,0.8141,0.3851
13257,0.7537,0.8686,0.6299,0.521,0.5391
13259,0.9637,0.9749,0.7511,0.9799,0.9093
13261,0.936,0.95,0.7505,0.9284,0.8625
13263,0.8962,0.9274,0.6687,0.9227,0.8062
13265,0.8017,0.9204,0.6782,0.9411,0.332
13267,0.9036,0.8335,0.7196,0.8195,0.9545
13269,0.9319,0.9669,0.8444,0.8167,0.7183
13271,0.8711,0.6846,0.6642,0.8819,0.9739
13273,0.9831,0.994,0.6505,0.9433,0.9736
13275,0.8861,0.895,0.9593,0.816,0.487
13277,0.8978,0.8587,0.753,0.8421,0.8985
13279,0.9688,0.978,0.95,0.7973,0.81
13281,0.2849,0.5232,0.0789,0.1655,0.3768
13283,0.9717,0.9984,0.8959,0.6951,0.7737
13285,0.9383,0.8908,0.8526,0.8329,0.9198
13287,0.9548,0.9815,0.9599,0.8568,0.5961
